BHK,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Balcony,Page Number
3.0,Gachibowli,60000.0,Furnished,3.0,Bachelors/Family,Immediately,1895.0,super-area,1.0,6.0,East,,7
3.0,Kondapur,,Semi-Furnished,3.0,Family,Immediately,2530.0,super-area,10.0,24.0,West,2.0,7
3.0,"Narsingi, Outer Ring Road",62000.0,Semi-Furnished,3.0,Bachelors,Immediately,1500.0,carpet-area,12.0,30.0,East,1.0,7
3.0,"Narsingi, Outer Ring Road",62000.0,Semi-Furnished,3.0,Bachelors,Immediately,1715.0,super-area,13.0,39.0,West,1.0,7
2.0,Kondapur,45000.0,Semi-Furnished,2.0,Bachelors/Family,Immediately,1200.0,carpet-area,5.0,5.0,North,2.0,7
3.0,Yapral,35000.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,1585.0,carpet-area,2.0,5.0,West,1.0,7
3.0,"Narsingi, Outer Ring Road",72000.0,Furnished,3.0,Bachelors,Immediately,1860.0,super-area,2.0,40.0,West,3.0,7
3.0,"Kukatpally, NH 9",85000.0,,,Bachelors/Family,Immediately,2840.0,super-area,,,,,7
3.0,Gachibowli,52000.0,Semi-Furnished,3.0,Bachelors,Immediately,886.0,carpet-area,2.0,18.0,West,1.0,7
2.0,"Sun City, Bandlaguda, Chevella Road",15000.0,Unfurnished,2.0,Family,Immediately,1150.0,carpet-area,1.0,3.0,East,1.0,7
