Title,BHK,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Balcony,Page Number
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",,Semi-Furnished,3,Bachelors/Family,Immediately,1960,super-area,9,14,East,1,17
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,4000.0,Semi-Furnished,3,Bachelors/Family,Immediately,1380,super-area,3,12,West,2,17
"4 BHK Flat  for Rent in Hitech City, Hyderabad",4.0,Hitech City,,Semi-Furnished,4,Bachelors,Immediately,3430,super-area,21,35,West,2,17
"2 BHK Flat  for Rent in Kondapur, Hyderabad",2.0,Kondapur,2500.0,Semi-Furnished,2,Family,Immediately,1100,carpet-area,4,4,West,2,17
"3 BHK Flat  for Rent in HUDA Layout Nalagandla, Hyderabad",3.0,HUDA Layout Nalagandla,5500.0,Semi-Furnished,3,Family,Immediately,1550,carpet-area,7,10,East,1,17
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,,Semi-Furnished,3,Bachelors/Family,Immediately,1961,super-area,8,30,North,2,17
"4 BHK Flat  for Rent in Hitech City, Hyderabad",4.0,Hitech City,28000.0,Furnished,7,Bachelors/Family,Immediately,4395,carpet-area,7,39,East,3,17
"4 BHK Flat  for Rent in Hitech City, Hyderabad",4.0,Hitech City,,Semi-Furnished,4,Bachelors,Immediately,3430,super-area,19,35,West,2,17
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,2000.0,Semi-Furnished,3,Bachelors/Family,Immediately,1900,carpet-area,3,5,East,3,17
"3 BHK Flat  for Rent in Puppalguda, Hyderabad",3.0,Puppalguda,,Semi-Furnished,3,Bachelors/Family,Immediately,1128,carpet-area,20,32,East,2,17
"2 BHK Flat  for Rent in Madhapur, Hyderabad",2.0,Madhapur,2000.0,Semi-Furnished,2,Bachelors/Family,Immediately,1150,carpet-area,3,7,East,2,17
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Unfurnished,1,Bachelors,Immediately,560,carpet-area,3,5,East,1,18
"3 BHK Flat  for Rent in Nalagandla, Hyderabad",3.0,Nalagandla,,Semi-Furnished,3,Bachelors/Family,Immediately,1495,super-area,2,25,West,2,18
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,,Semi-Furnished,3,Bachelors/Family,Immediately,1498,super-area,28,39,,1,18
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",,Semi-Furnished,3,Bachelors/Family,Immediately,1905,carpet-area,4,10,North - East,,18
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",,Semi-Furnished,3,,Const. Age Less than 5 years,1361,carpet-area,15,34,East,1,18
